LID,STREETNAME,,PINCODE
111,KRUMBIGALROAD,,560023
112,ATTIMABBLEROAD,,560023
113,SURANJANDASROAD,,560023
114,NRUPATUNGAROAD,,560068
115,ALURVENKATARAOROAD,,560068
116,LAVELLEROAD,,560068
117,NITTOARSRINIVASAROAD,,560103
118,MANJAPPAROAD,,560103
119,ALIASKERROAD,,560103
120,MONOTYPEROAD,,560079
121,MISSIONROAD,,560079
122,SANKEYROAD,,560079
123,CUNNINGHAMROAD,,574230
124,CUBBONROAD,,574230
125,STMARKSROAD,,574230
126,FMCARIAPPAROAD,,560043
127,DVGROAD,,560043
128,MURGOSAROAD,,560043
129,SAMPIGEROAD,,560044
130,RACECOURSEROAD,,560044
131,MEANEEAVENUE,,560044
132,MAHATMAGROAD,,560022
133,SJPOPROAD,,560022
134,SURANJANDASROAD,,560022
135,COMMERICALSTREET,,560067
136,SAMPIGEROAD,,560067
137,RACECARCEROAD,,560067
138,KASTURBAROAD,,562106
139,TILAKROAD,,562106
140,KERVEROAD,,562106
